Spot_Name,Spot_ID,Group,Sub_Group
Bilinga Beach,4884,Queensland,Gold Coast
Broadbeach,2247,Queensland,Gold Coast
Burleigh Heads,865,Queensland,Gold Coast
Currumbin Beach ,4891,Queensland,Gold Coast
Currumbin Point,1188,Queensland,Gold Coast
Duranbah,959,Queensland,Gold Coast
Fingal Head,1015,Queensland,Gold Coast
Froggy Beach,4892,Queensland,Gold Coast
Greenmount,2251,Queensland,Gold Coast
Kirra,528,Queensland,Gold Coast
Kurrawa Beach,4888,Queensland,Gold Coast
Main Beach,4889,Queensland,Gold Coast
Miami,527,Queensland,Gold Coast
Mirage Beach,4534,Queensland,Gold Coast
Narrowneck,2252,Queensland,Gold Coast
North Stradbroke,1009,Queensland,Gold Coast
Pacific Beach,4885,Queensland,Gold Coast
Pelican Beach,4890,Queensland,Gold Coast
Snapper Rocks,1014,Queensland,Gold Coast
South Stradbroke,1010,Queensland,Gold Coast
Surfers Paradise,1012,Queensland,Gold Coast
Tallebudgera,4886,Queensland,Gold Coast
The Spit,2254,Queensland,Gold Coast
Tugun,4883,Queensland,Gold Coast
Agnes Waters,1001,Queensland,Sunshine Coast
Boiling Pot (Noosa),2253,Queensland,Sunshine Coast
Caloundra (Happys),547,Queensland,Sunshine Coast
Coolum Beach,545,Queensland,Sunshine Coast
Double Island Point,543,Queensland,Sunshine Coast
Fraser Island,1002,Queensland,Sunshine Coast
Kawana,1006,Queensland,Sunshine Coast
Long Track,2248,Queensland,Sunshine Coast
Maroochydoore (Pin Cushion),1005,Queensland,Sunshine Coast
Moffats,1008,Queensland,Sunshine Coast
Mudjumba,2249,Queensland,Sunshine Coast
Noosa Main Beach,1003,Queensland,Sunshine Coast
Peregian Creek,2250,Queensland,Sunshine Coast
Point Cartwright,1007,Queensland,Sunshine Coast
Sunshine Beach,1004,Queensland,Sunshine Coast
Tea Tree (Noosa),544,Queensland,Sunshine Coast
The Bluff,546,Queensland,Sunshine Coast
